v8-version,8,1,307,31,-node.33,0
code-creation,Builtin,3,2000,0x7ff75b16c6b0,12,HandleApiCall
code-creation,Builtin,3,2000,0x7ff75b16c6d0,12,HandleApiCallAsFunction
code-creation,Builtin,3,2000,0x7ff75b16c6f0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2000,0x7ff75b16c710,72,AllocateInYoungGeneration
code-creation,Builtin,3,2000,0x7ff75b16c770,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2000,0x7ff75b16c7b0,72,AllocateInOldGeneration
code-creation,Builtin,3,2000,0x7ff75b16c810,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2000,0x7ff75b16c850,492,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2000,0x7ff75b16ca50,563,GrowFastDoubleElements
code-creation,Builtin,3,2000,0x7ff75b16cc90,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2000,0x7ff75b16ce50,361,NewArgumentsElements
code-creation,Builtin,3,2000,0x7ff75b16cfd0,500,DebugBreakTrampoline
code-creation,Builtin,3,2000,0x7ff75b16d1d0,141,FrameDropperTrampoline
code-creation,Builtin,3,2000,0x7ff75b16d270,45,HandleDebuggerStatement
code-creation,Builtin,3,2000,0x7ff75b16d2b0,254,ToObject
code-creation,Builtin,3,2000,0x7ff75b16d3b0,104,ToBoolean
code-creation,Builtin,3,2000,0x7ff75b16d430,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2000,0x7ff75b16d550,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,2000,0x7ff75b16d670,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2000,0x7ff75b16d750,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2000,0x7ff75b16d830,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2000,0x7ff75b16d910,85,StringToNumber
code-creation,Builtin,3,2000,0x7ff75b16d970,129,ToName
code-creation,Builtin,3,2000,0x7ff75b16da10,235,NonNumberToNumber
code-creation,Builtin,3,2000,0x7ff75b16db10,255,NonNumberToNumeric
code-creation,Builtin,3,2000,0x7ff75b16dc10,239,ToNumber
code-creation,Builtin,3,2000,0x7ff75b16dd10,272,ToNumberConvertBigInt
code-creation,Builtin,3,2000,0x7ff75b16de30,275,ToNumeric
code-creation,Builtin,3,2000,0x7ff75b16df50,261,NumberToString
code-creation,Builtin,3,2000,0x7ff75b16e070,454,ToInteger
code-creation,Builtin,3,2000,0x7ff75b16e250,466,ToInteger_TruncateMinusZero
code-creation,Builtin,3,2000,0x7ff75b16e430,382,ToLength
code-creation,Builtin,3,2000,0x7ff75b16e5b0,140,Typeof
code-creation,Builtin,3,2000,0x7ff75b16e650,69,GetSuperConstructor
code-creation,Builtin,3,2000,0x7ff75b16e6b0,133,BigIntToI64
code-creation,Builtin,3,2000,0x7ff75b16e750,12,BigIntToI32Pair
code-creation,Builtin,3,2000,0x7ff75b16e770,309,I64ToBigInt
code-creation,Builtin,3,2000,0x7ff75b16e8b0,12,I32PairToBigInt
code-creation,Builtin,3,2000,0x7ff75b16e8d0,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2000,0x7ff75b16e950,3437,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2000,0x7ff75b16f6d0,16224,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2000,0x7ff75b173650,257,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,2000,0x7ff75b173770,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,2000,0x7ff75b1737d0,20,LoadIC_StringLength
code-creation,Builtin,3,2000,0x7ff75b1737f0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2000,0x7ff75b173810,3064,LoadIC_NoFeedback
code-creation,Builtin,3,2000,0x7ff75b174410,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2000,0x7ff75b174450,7192,StoreIC_NoFeedback
code-creation,Builtin,3,2000,0x7ff75b176070,180,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2000,0x7ff75b176130,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,2000,0x7ff75b176190,352,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,2000,0x7ff75b176310,352,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2000,0x7ff75b176490,352,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2000,0x7ff75b176610,352,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2000,0x7ff75b176790,6900,StoreFastElementIC_Standard
code-creation,Builtin,3,2000,0x7ff75b178290,10740,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2000,0x7ff75b17ac90,6896,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2000,0x7ff75b17c790,5972,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2000,0x7ff75b17def0,9436,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2000,0x7ff75b1803d0,21988,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2000,0x7ff75b1859d0,9436,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,2000,0x7ff75b187eb0,12392,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,2000,0x7ff75b18af30,768,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,2000,0x7ff75b18b250,180,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,2000,0x7ff75b18b310,80,HasIndexedInterceptorIC
code-creation,Builtin,3,2000,0x7ff75b18b370,160,EnqueueMicrotask
code-creation,Builtin,3,2000,0x7ff75b18b430,8,RunMicrotasksTrampoline
code-creation,Builtin,3,2000,0x7ff75b18b450,1944,RunMicrotasks
code-creation,Builtin,3,2000,0x7ff75b18bbf0,2450,HasProperty
code-creation,Builtin,3,2000,0x7ff75b18c590,1128,DeleteProperty
code-creation,Builtin,3,2000,0x7ff75b18ca10,2051,CopyDataProperties
code-creation,Builtin,3,2000,0x7ff75b18d230,9258,SetDataProperties
